Objekt,X,Y,Razdalja_mm,Čas
orange_cone,669,689,0,00:39:50.112263
orange_cone,610,416,0,00:39:50.141559
orange_cone,553,689,0,00:39:50.141836
orange_cone,669,688,0,00:39:50.142064
orange_cone,609,416,0,00:39:50.176488
orange_cone,553,689,0,00:39:50.176734
orange_cone,669,689,0,00:39:50.176949
orange_cone,609,416,0,00:39:50.213397
orange_cone,553,689,0,00:39:50.213680
orange_cone,669,689,0,00:39:50.213929
orange_cone,609,416,0,00:39:50.251808
orange_cone,553,688,0,00:39:50.252096
orange_cone,668,688,0,00:39:50.252348
orange_cone,609,416,0,00:39:50.287009
orange_cone,553,689,0,00:39:50.287280
orange_cone,668,687,0,00:39:50.287515
orange_cone,609,415,0,00:39:50.322671
orange_cone,553,689,0,00:39:50.322940
orange_cone,668,687,0,00:39:50.323199
orange_cone,610,417,0,00:39:50.359744
orange_cone,553,690,0,00:39:50.360044
orange_cone,669,688,0,00:39:50.360303
orange_cone,610,416,0,00:39:50.397912
orange_cone,553,689,0,00:39:50.398237
orange_cone,669,687,0,00:39:50.398504
orange_cone,611,416,0,00:39:50.437605
orange_cone,554,688,0,00:39:50.437890
orange_cone,669,687,0,00:39:50.438138
orange_cone,612,416,0,00:39:50.475257
orange_cone,553,688,0,00:39:50.475567
orange_cone,612,416,0,00:39:50.513762
orange_cone,554,688,0,00:39:50.514073
orange_cone,613,415,0,00:39:50.547248
orange_cone,554,687,0,00:39:50.547645
orange_cone,613,416,0,00:39:50.580920
orange_cone,554,687,0,00:39:50.581183
orange_cone,613,414,0,00:39:50.618326
orange_cone,554,688,0,00:39:50.618631
orange_cone,613,415,0,00:39:50.656774
orange_cone,554,687,0,00:39:50.657081
orange_cone,613,416,0,00:39:50.695060
orange_cone,554,687,0,00:39:50.695370
orange_cone,612,416,0,00:39:50.736156
orange_cone,554,687,0,00:39:50.736447
orange_cone,612,416,0,00:39:50.774263
orange_cone,554,687,0,00:39:50.774555
orange_cone,612,416,0,00:39:50.811954
orange_cone,554,687,0,00:39:50.812252
orange_cone,612,416,0,00:39:50.850633
orange_cone,612,415,0,00:39:50.887967
orange_cone,611,416,0,00:39:50.923709
orange_cone,611,416,0,00:39:50.957962
orange_cone,610,416,0,00:39:50.993894
orange_cone,610,416,0,00:39:51.030488
orange_cone,609,416,0,00:39:51.064414
orange_cone,609,416,0,00:39:51.093561
orange_cone,610,415,0,00:39:51.120553
orange_cone,610,412,0,00:39:51.148183
orange_cone,611,412,0,00:39:51.176564
orange_cone,612,413,0,00:39:51.204818
orange_cone,554,680,0,00:39:51.205047
orange_cone,557,682,0,00:39:51.205256
orange_cone,612,415,0,00:39:51.230899
orange_cone,558,681,0,00:39:51.231291
orange_cone,613,418,0,00:39:51.263712
orange_cone,559,681,0,00:39:51.264001
orange_cone,613,418,0,00:39:51.297535
orange_cone,559,681,0,00:39:51.298045
orange_cone,613,414,0,00:39:51.332533
orange_cone,559,681,0,00:39:51.333082
orange_cone,613,415,0,00:39:51.370088
orange_cone,559,680,0,00:39:51.370351
orange_cone,620,310,0,00:39:51.370576
orange_cone,612,412,0,00:39:51.405380
orange_cone,559,680,0,00:39:51.405660
orange_cone,620,310,0,00:39:51.405895
orange_cone,612,410,0,00:39:51.441152
orange_cone,559,679,0,00:39:51.441415
orange_cone,620,310,0,00:39:51.441623
orange_cone,612,410,0,00:39:51.476163
orange_cone,558,678,0,00:39:51.476441
orange_cone,621,309,0,00:39:51.476670
orange_cone,610,410,0,00:39:51.512552
orange_cone,556,678,0,00:39:51.512823
orange_cone,623,310,0,00:39:51.513062
orange_cone,609,410,0,00:39:51.541501
orange_cone,609,410,0,00:39:51.569914
orange_cone,609,410,0,00:39:51.603374
orange_cone,609,411,0,00:39:51.636433
orange_cone,609,410,0,00:39:51.662082
orange_cone,609,410,0,00:39:51.689474
orange_cone,609,408,0,00:39:51.718953
orange_cone,610,409,0,00:39:51.747433
orange_cone,609,411,0,00:39:51.777708
orange_cone,610,411,0,00:39:51.812297
orange_cone,610,411,0,00:39:51.849236
orange_cone,609,411,0,00:39:51.886204
orange_cone,610,412,0,00:39:51.914472
orange_cone,609,411,0,00:39:51.943051
orange_cone,609,411,0,00:39:51.973011
orange_cone,610,411,0,00:39:52.009625
orange_cone,608,411,0,00:39:52.047907
orange_cone,608,411,0,00:39:52.085086
orange_cone,609,411,0,00:39:52.120469
orange_cone,609,411,0,00:39:52.155785
orange_cone,608,411,0,00:39:52.192892
orange_cone,608,411,0,00:39:52.229602
orange_cone,609,410,0,00:39:52.266417
orange_cone,608,412,0,00:39:52.304217
orange_cone,608,412,0,00:39:52.341464
orange_cone,608,411,0,00:39:52.376853
orange_cone,606,412,0,00:39:52.410988
orange_cone,606,412,0,00:39:52.443450
orange_cone,604,412,0,00:39:52.473905
orange_cone,604,412,0,00:39:52.505316
orange_cone,604,412,0,00:39:52.539440
orange_cone,603,412,0,00:39:52.574414
orange_cone,601,412,0,00:39:52.608270
orange_cone,603,409,0,00:39:52.642836
orange_cone,603,409,0,00:39:52.678189
orange_cone,606,408,0,00:39:52.712495
orange_cone,608,407,0,00:39:52.744115
orange_cone,610,408,0,00:39:52.773974
orange_cone,610,408,0,00:39:52.805522
orange_cone,610,408,0,00:39:52.838157
orange_cone,611,405,0,00:39:52.874444
orange_cone,612,409,0,00:39:52.909747
orange_cone,609,412,0,00:39:52.941328
orange_cone,611,412,0,00:39:52.973425
orange_cone,611,412,0,00:39:53.000889
orange_cone,612,411,0,00:39:53.029463
orange_cone,614,412,0,00:39:53.056483
orange_cone,614,412,0,00:39:53.084014
orange_cone,613,413,0,00:39:53.115732
orange_cone,614,413,0,00:39:53.147969
orange_cone,616,414,0,00:39:53.171822
orange_cone,616,414,0,00:39:53.201879
orange_cone,614,415,0,00:39:53.234581
orange_cone,615,415,0,00:39:53.267413
orange_cone,615,415,0,00:39:53.299823
orange_cone,616,415,0,00:39:53.333518
orange_cone,616,415,0,00:39:53.362317
orange_cone,616,416,0,00:39:53.391677
orange_cone,617,415,0,00:39:53.417497
orange_cone,617,415,0,00:39:53.445026
orange_cone,617,414,0,00:39:53.478585
orange_cone,616,415,0,00:39:53.507014
orange_cone,616,415,0,00:39:53.533095
orange_cone,616,415,0,00:39:53.568017
orange_cone,617,417,0,00:39:53.595649
orange_cone,617,416,0,00:39:53.621455
orange_cone,617,416,0,00:39:53.648848
orange_cone,618,418,0,00:39:53.682815
orange_cone,618,421,0,00:39:53.714398
orange_cone,623,326,0,00:39:53.714641
orange_cone,619,419,0,00:39:53.738794
orange_cone,624,326,0,00:39:53.739051
orange_cone,619,419,0,00:39:53.767552
orange_cone,624,326,0,00:39:53.767819
