Objekt,X,Y,Širina,Višina,Zaupanje,Čas
jabolka,212,411,233,524,0.71,12:17:47.662775
jabolka,183,428,367,493,0.48,12:17:47.663155
jabolka,268,428,212,500,0.48,12:17:47.663484
jabolka,97,272,194,531,0.51,12:17:47.833271
jabolka,24,596,48,248,0.25,12:17:47.833800
jabolka,47,587,94,189,0.47,12:17:48.068464
jabolka,391,551,138,333,0.71,12:17:48.499404
jabolka,400,555,163,327,0.84,12:17:48.727901
jabolka,17,330,35,243,0.26,12:17:48.728427
jabolka,399,551,159,333,0.68,12:17:48.935887
jabolka,410,547,154,341,0.65,12:17:49.174224
jabolka,428,544,119,350,0.33,12:17:49.319693
banana,16,46,32,80,0.37,12:17:49.560164
jabolka,244,54,123,106,0.30,12:17:49.854684
jabolka,242,48,126,93,0.28,12:17:50.061197
banana,12,29,24,55,0.32,12:17:50.210886
jabolka,217,48,119,95,0.36,12:17:50.863780
jabolka,233,41,109,81,0.27,12:17:51.466888
jabolka,415,572,128,290,0.40,12:17:51.891389
jabolka,26,420,53,228,0.28,12:17:51.891796
jabolka,402,566,124,304,0.48,12:17:52.064859
jabolka,19,415,39,239,0.34,12:17:52.065536
jabolka,403,571,123,296,0.50,12:17:52.294228
jabolka,18,400,37,263,0.26,12:17:52.294662
jabolka,18,461,36,117,0.38,12:17:52.468246
jabolka,15,461,30,108,0.33,12:17:52.664949
jabolka,396,569,120,299,0.32,12:17:52.665785
jabolka,393,559,125,309,0.36,12:17:52.896652
jabolka,394,559,124,309,0.32,12:17:53.119984
jabolka,413,565,142,303,0.56,12:17:53.325178
jabolka,765,495,138,180,0.28,12:17:53.472173
jabolka,559,696,104,48,0.40,12:17:53.695791
jabolka,900,302,192,354,0.62,12:17:54.715917
jabolka,859,149,118,292,0.42,12:17:55.112619
jabolka,859,573,91,289,0.64,12:17:55.268057
jabolka,872,600,67,233,0.66,12:17:55.506836
jabolka,901,243,201,479,0.60,12:17:55.507270
jabolka,939,250,307,490,0.26,12:17:55.507665
jabolka,517,100,117,196,0.73,12:17:55.878605
jabolka,876,659,59,117,0.42,12:17:55.879222
jabolka,872,654,71,128,0.45,12:17:56.096378
jabolka,870,652,70,131,0.32,12:17:56.336242
jabolka,867,647,72,139,0.33,12:17:56.536687
jabolka,851,640,103,156,0.48,12:17:56.962321
jabolka,835,621,134,191,0.30,12:17:57.206083
jabolka,919,322,261,623,0.29,12:17:57.206665
jabolka,840,365,159,707,0.39,12:17:57.439485
jabolka,847,492,112,450,0.26,12:17:57.439995
jabolka,917,373,206,687,0.63,12:17:57.634521
jabolka,365,245,246,473,0.85,12:17:57.852097
jabolka,371,312,209,610,0.42,12:17:58.249748
jabolka,324,312,296,610,0.30,12:17:58.250169
jabolka,445,360,163,507,0.60,12:17:58.467571
jabolka,392,357,265,512,0.38,12:17:58.467939
jabolka,908,88,260,170,0.35,12:17:59.154290
jabolka,760,329,210,447,0.26,12:17:59.972136
