Objekt,X,Y,Razdalja_mm,X3D,Y3D,Z3D,Čas
pomaranca,933,365,515500,,,,11:10:59.224381
pomaranca,931,364,527000,,,,11:10:59.272446
jabolka,935,364,525000,,,,11:10:59.272843
pomaranca,931,365,524500,,,,11:10:59.323486
jabolka,937,364,519000,,,,11:10:59.323816
pomaranca,930,367,524000,,,,11:10:59.371081
jabolka,942,366,513000,,,,11:10:59.371426
pomaranca,932,366,544500,,,,11:10:59.419864
jabolka,943,367,530000,,,,11:10:59.420389
jabolka,946,369,532000,,,,11:10:59.466501
jabolka,963,385,513000,,,,11:10:59.517322
pomaranca,945,371,526000,,,,11:10:59.517701
jabolka,965,419,518000,,,,11:10:59.624533
jabolka,952,440,515000,,,,11:10:59.674949
jabolka,948,440,525000,,,,11:10:59.725794
pomaranca,925,379,527000,,,,11:10:59.774898
jabolka,932,379,523000,,,,11:10:59.775243
pomaranca,922,378,548000,,,,11:10:59.826165
jabolka,929,379,535000,,,,11:10:59.826554
pomaranca,926,377,556000,,,,11:10:59.874424
jabolka,934,378,545000,,,,11:10:59.875009
pomaranca,931,378,635000,,,,11:10:59.926651
jabolka,945,397,617000,,,,11:10:59.926963
jabolka,939,369,573000,,,,11:11:00.687395
pomaranca,931,371,580000,,,,11:11:00.687780
jabolka,943,370,533000,,,,11:11:00.735578
pomaranca,933,371,572000,,,,11:11:00.735941
jabolka,944,371,511000,,,,11:11:00.786754
pomaranca,931,372,540000,,,,11:11:00.787124
jabolka,941,372,520000,,,,11:11:00.837913
pomaranca,931,373,535000,,,,11:11:00.838877
jabolka,940,372,514000,,,,11:11:00.891450
pomaranca,930,374,572000,,,,11:11:00.891782
jabolka,949,380,516000,,,,11:11:00.938827
pomaranca,939,377,522000,,,,11:11:00.939269
jabolka,956,401,507000,,,,11:11:00.987535
jabolka,959,441,518000,,,,11:11:00.987865
jabolka,955,398,504000,,,,11:11:01.034795
jabolka,959,447,529000,,,,11:11:01.035136
jabolka,948,392,506000,,,,11:11:01.082751
jabolka,955,446,519000,,,,11:11:01.083273
jabolka,934,378,501000,,,,11:11:01.132150
jabolka,933,373,491000,,,,11:11:01.182174
jabolka,899,357,506000,,,,11:11:01.229688
jabolka,912,354,537000,,,,11:11:01.363963
pomaranca,828,273,550000,,,,11:11:04.732688
pomaranca,800,309,637000,,,,11:11:04.733150
pomaranca,815,279,544000,,,,11:11:04.779886
pomaranca,815,320,553000,,,,11:11:04.780271
pomaranca,779,333,518000,,,,11:11:04.780585
pomaranca,814,280,492000,,,,11:11:04.829889
pomaranca,803,305,606000,,,,11:11:04.831580
pomaranca,806,279,499000,,,,11:11:04.879242
pomaranca,803,278,498000,,,,11:11:04.927590
pomaranca,794,274,499000,,,,11:11:04.974821
